ModelName,CPUUsage,RAMUsage,Temperature,Voltage,DiskUsage,FanSpeed,ProblemDetected
HP EliteDesk 800 G6,57.49,44.94,82.08,12.2,80.75,4501,Overheating
HP EliteDesk 800 G6,35.49,30.71,51.3,12.14,36.15,2422,No Problem
Lenovo ThinkCentre M90q,29.42,57.89,42.71,11.96,31.5,2084,No Problem
Lenovo ThinkCentre M90q,34.61,48.12,50.86,11.85,10.5,3078,No Problem
Dell Precision 3650,58.29,55.38,28.0,11.85,97.83,3064,Disk Failure
HP Z2 G8,45.87,25.22,58.15,11.89,90.47,1467,Disk Failure
Dell OptiPlex 7090,79.34,96.24,65.93,12.03,84.49,3019,Memory Leak
HP EliteDesk 800 G6,47.06,46.44,58.86,11.61,100.0,1530,Disk Failure
HP EliteDesk 800 G6,47.26,51.76,60.54,15.29,48.8,3936,Power Issue
Lenovo ThinkCentre M90q,59.44,47.64,38.67,12.49,88.86,2083,Disk Failure
HP EliteDesk 800 G6,23.2,52.16,60.13,12.07,56.36,2168,No Problem
Dell OptiPlex 7090,50.44,88.13,68.78,11.72,22.9,3077,Power Issue
HP Z2 G8,55.3,13.79,48.22,11.63,5.0,2610,No Problem
HP Z2 G8,44.61,71.23,42.07,11.9,52.46,3026,Disk Failure
Dell Precision 3650,50.12,50.13,56.94,11.35,90.66,1967,Disk Failure
HP EliteDesk 800 G6,40.89,43.14,53.96,12.18,77.8,2060,No Problem
HP EliteDesk 800 G6,84.14,72.01,100.5,12.03,40.42,1721,Overheating
Dell OptiPlex 7090,47.54,40.73,46.18,12.08,40.69,2550,No Problem
Dell OptiPlex 7090,78.26,86.31,82.59,12.08,53.48,836,Overheating
HP EliteDesk 800 G6,37.11,58.6,69.16,15.63,14.35,1672,Power Issue
HP Z2 G8,40.88,48.88,40.94,14.79,46.8,2292,Power Issue
Dell Precision 3650,53.95,49.19,42.02,11.96,86.61,2276,Disk Failure
HP Z2 G8,48.88,75.97,49.86,12.14,63.3,2820,Disk Failure
HP Z2 G8,40.38,41.33,45.38,12.31,96.1,2502,Disk Failure
HP Z2 G8,46.11,72.41,51.66,12.14,94.32,2326,Disk Failure
Dell OptiPlex 7090,70.64,50.56,66.96,14.09,47.18,2757,Power Issue
Lenovo ThinkCentre M90q,64.85,56.0,55.35,12.03,74.83,2597,Disk Failure
HP EliteDesk 800 G6,18.34,42.17,48.48,12.17,53.25,2373,No Problem
HP Z2 G8,60.35,98.07,72.21,12.21,15.59,3251,Memory Leak
HP Z2 G8,31.31,57.11,35.42,11.77,26.42,1830,No Problem
Dell Precision 3650,81.8,35.79,29.93,15.42,37.86,3285,Power Issue
Dell OptiPlex 7090,27.93,45.73,50.0,12.3,51.53,2243,No Problem
HP EliteDesk 800 G6,55.0,42.67,56.79,12.11,77.92,1517,Disk Failure
HP Z2 G8,83.44,100.0,67.12,12.05,36.42,2858,Memory Leak
Dell Precision 3650,40.88,38.2,70.75,9.86,27.6,1286,Power Issue
Dell Precision 3650,49.03,47.29,39.17,12.1,82.0,1855,No Problem
HP EliteDesk 800 G6,63.85,89.57,67.77,11.87,44.89,3367,Memory Leak
Dell OptiPlex 7090,84.95,90.64,80.78,12.11,16.27,3671,Memory Leak
HP Z2 G8,100.0,83.64,69.14,11.75,61.04,3323,Memory Leak
HP Z2 G8,65.6,77.12,102.94,12.15,66.37,2209,Overheating
Dell Precision 3650,66.15,24.56,44.84,11.84,30.1,1068,No Problem
HP Z2 G8,57.05,63.51,115.45,12.35,64.97,6563,Overheating
Lenovo ThinkCentre M90q,79.95,50.64,94.9,12.13,74.95,1445,Overheating
Dell OptiPlex 7090,69.3,32.84,57.53,12.01,91.33,900,Disk Failure
HP EliteDesk 800 G6,37.66,77.55,67.63,12.27,47.94,2422,Disk Failure
HP Z2 G8,48.67,87.59,87.68,12.15,71.5,2959,Memory Leak
Dell Precision 3650,51.55,57.58,64.15,12.74,85.22,2223,Disk Failure
Dell OptiPlex 7090,5.0,47.96,65.84,12.13,73.36,3050,No Problem
Dell Precision 3650,13.83,53.02,54.98,15.59,17.89,2151,Power Issue
Dell Precision 3650,25.64,68.65,73.49,15.12,46.48,2846,Power Issue
Lenovo ThinkCentre M90q,66.76,70.81,47.71,11.8,63.51,3055,Power Issue
Dell OptiPlex 7090,78.39,87.34,54.75,11.77,16.62,4054,Memory Leak
Dell OptiPlex 7090,97.86,41.19,101.9,12.41,37.62,5012,Overheating
HP EliteDesk 800 G6,67.13,47.68,54.03,11.99,91.97,2548,Disk Failure
Lenovo ThinkCentre M90q,50.74,32.24,49.89,12.27,48.8,2393,No Problem
Dell OptiPlex 7090,66.64,50.47,85.64,12.09,78.09,3135,Overheating
HP EliteDesk 800 G6,92.89,88.2,77.46,11.96,84.47,2965,Disk Failure
HP EliteDesk 800 G6,64.8,54.5,72.0,11.5,48.25,6331,Overheating
HP EliteDesk 800 G6,71.16,60.38,38.97,11.95,84.86,3224,Disk Failure
HP Z2 G8,26.22,92.17,49.98,15.71,91.44,2925,Power Issue
Dell Precision 3650,58.19,72.13,59.81,11.87,90.41,3122,Disk Failure
HP EliteDesk 800 G6,43.0,78.85,60.44,15.52,30.21,2778,Power Issue
Lenovo ThinkCentre M90q,86.11,83.78,89.85,12.85,74.5,4197,Overheating
Dell Precision 3650,69.14,42.68,74.78,11.98,55.55,4295,Overheating
Dell Precision 3650,70.16,87.8,57.19,11.37,74.55,3392,Memory Leak
HP Z2 G8,65.26,89.38,69.07,11.54,24.17,4509,Memory Leak
HP Z2 G8,69.44,81.6,57.48,12.55,42.15,3780,Memory Leak
HP Z2 G8,58.59,97.91,53.63,11.75,68.69,1888,Memory Leak
Dell Precision 3650,32.13,51.24,46.49,11.98,12.59,1857,No Problem
HP EliteDesk 800 G6,40.23,48.78,52.08,12.06,37.74,2540,No Problem
Dell Precision 3650,26.44,55.63,37.66,11.93,44.33,2816,No Problem
Dell Precision 3650,64.55,83.8,85.12,12.16,84.15,3838,Memory Leak
HP Z2 G8,67.53,89.42,55.95,15.19,62.27,2624,Power Issue
Dell Precision 3650,21.27,64.27,34.1,11.95,52.08,2661,No Problem
HP Z2 G8,39.25,62.0,75.06,12.63,44.46,6588,Overheating
HP Z2 G8,59.62,98.0,67.49,12.14,85.76,1794,Power Issue
Dell Precision 3650,90.38,92.15,55.11,12.0,26.07,2563,Memory Leak
Dell OptiPlex 7090,41.81,61.72,39.43,12.24,31.28,3276,No Problem
Lenovo ThinkCentre M90q,30.71,68.92,43.02,12.06,58.79,2173,No Problem
HP EliteDesk 800 G6,68.72,100.0,71.11,11.66,39.55,4260,Memory Leak
Lenovo ThinkCentre M90q,76.75,38.55,77.01,13.99,75.66,2689,Power Issue
HP EliteDesk 800 G6,74.91,87.67,63.46,12.25,85.63,2739,Memory Leak
Dell Precision 3650,43.28,60.7,57.15,11.94,94.16,2609,Disk Failure
Dell Precision 3650,29.86,19.39,62.39,12.16,19.28,2504,No Problem
Lenovo ThinkCentre M90q,58.85,22.65,42.87,12.07,83.88,1561,Disk Failure
Lenovo ThinkCentre M90q,52.93,20.88,78.31,12.31,47.68,4464,Overheating
Dell Precision 3650,30.73,56.81,58.94,12.3,64.98,2361,No Problem
HP EliteDesk 800 G6,46.51,33.35,43.77,12.14,41.95,2172,No Problem
Dell OptiPlex 7090,59.85,92.11,76.61,11.83,64.84,3347,Memory Leak
HP Z2 G8,29.17,32.77,67.15,11.77,81.34,2136,Disk Failure
Dell OptiPlex 7090,33.57,19.63,68.21,11.64,90.74,2604,Disk Failure
Lenovo ThinkCentre M90q,56.33,35.84,49.74,12.27,100.0,3202,Disk Failure
HP Z2 G8,79.7,62.33,63.82,12.07,48.37,3129,Disk Failure
HP Z2 G8,70.3,54.58,67.47,12.12,44.59,2477,Disk Failure
Dell Precision 3650,49.42,49.13,54.87,11.99,78.2,2565,Disk Failure
Dell Precision 3650,64.27,49.16,47.16,11.56,54.74,2067,No Problem
Lenovo ThinkCentre M90q,95.55,58.27,113.69,11.64,45.34,4660,Overheating
Lenovo ThinkCentre M90q,20.8,55.76,87.82,13.55,86.76,3309,Power Issue
Dell OptiPlex 7090,20.36,31.89,63.22,11.93,41.83,2046,No Problem
Dell OptiPlex 7090,51.26,38.99,75.44,12.06,87.89,2131,Disk Failure
Lenovo ThinkCentre M90q,78.48,63.57,103.69,12.0,54.65,6620,Overheating
HP Z2 G8,61.21,46.31,81.0,11.71,75.74,1574,Overheating
HP Z2 G8,86.85,68.62,82.45,11.66,23.96,4477,Overheating
HP Z2 G8,79.73,96.88,67.64,11.36,39.86,3198,Memory Leak
HP EliteDesk 800 G6,64.39,90.9,84.27,11.82,21.68,2957,Memory Leak
Lenovo ThinkCentre M90q,52.77,83.18,83.04,11.62,38.26,2036,Memory Leak
HP EliteDesk 800 G6,39.68,63.41,53.26,11.94,60.02,2304,No Problem
Lenovo ThinkCentre M90q,65.97,79.24,62.48,11.9,45.29,2462,Memory Leak
HP EliteDesk 800 G6,44.31,49.87,53.32,11.96,98.02,2954,Disk Failure
Lenovo ThinkCentre M90q,59.79,88.64,50.07,12.28,35.95,3757,Memory Leak
Dell OptiPlex 7090,68.0,75.9,94.96,12.81,37.68,3941,Overheating
Dell Precision 3650,46.86,37.26,43.69,11.97,13.38,1759,No Problem
Lenovo ThinkCentre M90q,35.1,20.75,44.87,12.39,58.72,1925,No Problem
Dell OptiPlex 7090,46.87,29.35,63.37,11.91,54.95,3701,Power Issue
Dell Precision 3650,81.53,95.23,88.32,11.95,78.3,3943,Overheating
HP EliteDesk 800 G6,72.12,44.04,57.47,14.24,50.54,3418,Power Issue
Dell Precision 3650,46.66,52.86,78.14,14.07,60.41,1504,Power Issue
Dell Precision 3650,94.15,95.75,55.51,12.02,54.8,3304,Memory Leak
Dell OptiPlex 7090,24.27,45.6,63.32,11.01,22.37,2150,Power Issue
Dell Precision 3650,72.42,54.48,83.19,12.57,62.15,7000,Overheating
Dell Precision 3650,59.34,60.73,93.15,12.31,27.74,5347,Overheating
Lenovo ThinkCentre M90q,32.68,22.1,70.66,12.46,92.6,2905,Disk Failure
HP Z2 G8,64.74,71.15,92.51,12.17,76.43,3588,Overheating
HP EliteDesk 800 G6,63.31,75.03,80.8,12.04,54.34,5369,Overheating
HP EliteDesk 800 G6,79.23,70.02,88.05,11.71,98.0,4308,Overheating
HP EliteDesk 800 G6,12.55,53.74,63.38,11.8,48.23,1370,No Problem
HP Z2 G8,57.07,85.46,68.76,11.27,10.44,3313,Memory Leak
Lenovo ThinkCentre M90q,96.55,83.7,106.56,11.87,54.03,6901,Overheating
Dell Precision 3650,64.14,88.51,80.36,12.17,34.34,2640,Memory Leak
HP EliteDesk 800 G6,21.5,18.11,47.9,11.93,48.29,2547,No Problem
Dell Precision 3650,19.67,61.87,37.29,11.63,25.45,2651,No Problem
HP EliteDesk 800 G6,52.15,53.49,43.73,12.36,52.08,2956,Disk Failure
Lenovo ThinkCentre M90q,79.38,50.26,79.36,11.76,41.11,4417,Overheating
Lenovo ThinkCentre M90q,54.32,10.53,49.67,11.94,94.23,2504,Disk Failure
HP Z2 G8,45.09,73.67,70.99,9.57,38.5,2089,Power Issue
HP EliteDesk 800 G6,84.83,45.39,78.6,12.03,90.36,4510,Overheating
HP EliteDesk 800 G6,51.92,61.36,36.82,11.81,68.22,2238,No Problem
Dell OptiPlex 7090,56.01,33.19,61.06,12.3,64.05,2368,Disk Failure
HP Z2 G8,71.08,44.46,48.06,9.44,75.08,2774,Power Issue
Lenovo ThinkCentre M90q,69.86,56.8,40.34,11.72,92.48,2297,Disk Failure
Dell OptiPlex 7090,72.05,57.45,101.4,11.97,59.76,4459,Overheating
HP EliteDesk 800 G6,49.28,34.35,50.6,11.9,63.28,1815,Disk Failure
Lenovo ThinkCentre M90q,35.8,32.54,55.78,11.96,73.32,2523,Disk Failure
HP Z2 G8,48.94,36.45,49.14,12.24,85.72,2797,Disk Failure
Dell OptiPlex 7090,96.41,93.46,97.69,11.95,59.57,6268,Overheating
Lenovo ThinkCentre M90q,82.27,69.98,78.9,12.15,27.49,3420,Overheating
Dell OptiPlex 7090,82.87,60.4,98.71,11.76,49.51,3662,Overheating
Lenovo ThinkCentre M90q,46.46,72.79,61.34,11.71,77.65,2850,Disk Failure
Dell OptiPlex 7090,43.89,37.9,64.36,12.17,64.83,1595,Disk Failure
HP Z2 G8,52.22,33.63,34.5,12.25,15.81,2157,No Problem
Dell OptiPlex 7090,28.35,29.65,78.18,8.52,54.95,2234,Power Issue
HP Z2 G8,65.3,61.54,62.09,12.14,70.33,1418,Disk Failure
Dell Precision 3650,100.0,53.76,77.33,11.29,61.59,3976,Overheating
HP EliteDesk 800 G6,72.59,89.28,55.41,11.58,40.28,2545,Memory Leak
Dell OptiPlex 7090,37.47,57.29,46.57,11.91,50.24,3000,No Problem
Dell OptiPlex 7090,63.08,28.67,59.57,12.21,77.37,2531,Disk Failure
Dell Precision 3650,38.16,42.44,56.0,11.94,76.71,2484,Disk Failure
HP EliteDesk 800 G6,15.55,25.86,52.11,12.11,35.36,2445,No Problem
HP EliteDesk 800 G6,48.14,56.77,62.32,13.0,44.59,2278,Power Issue
Dell Precision 3650,38.35,48.95,51.6,12.04,77.7,2160,No Problem
Lenovo ThinkCentre M90q,48.96,93.89,49.52,14.95,8.2,1295,Power Issue
HP Z2 G8,69.18,89.02,73.46,11.62,62.46,3213,Memory Leak
Dell Precision 3650,63.83,100.0,69.57,12.09,63.15,1999,Memory Leak
Dell OptiPlex 7090,67.1,57.45,50.92,12.3,68.81,2568,Disk Failure
HP Z2 G8,100.0,82.66,73.66,12.04,92.71,2479,Memory Leak
Dell Precision 3650,61.62,100.0,71.7,12.36,30.33,2967,Memory Leak
Dell OptiPlex 7090,27.07,46.89,78.69,15.5,60.14,1618,Power Issue
Lenovo ThinkCentre M90q,83.64,47.75,80.0,11.71,55.42,4530,Overheating
HP EliteDesk 800 G6,58.32,96.02,73.29,11.62,36.61,3831,Memory Leak
Dell Precision 3650,65.34,14.98,44.98,11.46,23.79,2175,Power Issue
Lenovo ThinkCentre M90q,86.04,100.0,71.78,12.11,98.0,2815,Memory Leak
Lenovo ThinkCentre M90q,72.93,13.8,46.2,13.1,54.45,2637,Power Issue
Dell Precision 3650,24.46,73.52,60.43,15.34,76.55,1881,Power Issue
HP Z2 G8,64.27,81.5,65.8,11.59,51.94,1768,Memory Leak
Dell Precision 3650,75.45,100.0,49.96,11.89,98.0,2121,Memory Leak
HP EliteDesk 800 G6,62.2,78.66,60.61,11.66,77.79,3070,Disk Failure
Dell Precision 3650,61.9,93.99,63.13,11.45,55.3,3094,Memory Leak
Lenovo ThinkCentre M90q,36.54,87.76,66.46,12.08,41.45,2493,Memory Leak
Dell Precision 3650,30.07,78.37,65.26,13.27,68.45,2399,Power Issue
Dell Precision 3650,43.2,96.01,60.29,11.92,39.81,3459,Memory Leak
Lenovo ThinkCentre M90q,70.64,97.87,56.32,11.93,65.35,3643,Memory Leak
Dell Precision 3650,96.17,72.23,94.88,12.15,67.68,3830,Overheating
Lenovo ThinkCentre M90q,80.87,49.99,123.78,11.75,52.63,4265,Overheating
Lenovo ThinkCentre M90q,85.28,54.09,91.85,12.26,45.44,3838,Overheating
Lenovo ThinkCentre M90q,55.46,41.11,43.47,11.89,54.96,2762,No Problem
Dell OptiPlex 7090,43.08,63.34,62.44,12.06,76.55,1703,Disk Failure
Dell Precision 3650,37.96,77.71,56.52,14.23,86.02,1679,Power Issue
HP EliteDesk 800 G6,66.21,67.83,59.13,8.15,67.86,1522,Power Issue
Dell Precision 3650,100.0,59.78,114.77,12.32,37.44,1027,Overheating
Dell OptiPlex 7090,40.64,87.37,57.73,12.12,38.73,4252,Memory Leak
Dell OptiPlex 7090,71.22,81.61,43.76,11.94,83.46,2696,Disk Failure
HP Z2 G8,58.43,96.24,61.48,11.55,61.26,1637,Memory Leak
Dell OptiPlex 7090,52.08,44.17,89.74,12.28,63.67,1828,Overheating
HP EliteDesk 800 G6,76.6,50.44,91.14,11.73,33.76,3840,Overheating
Dell Precision 3650,44.29,27.0,46.47,11.66,28.66,2254,No Problem
Lenovo ThinkCentre M90q,79.16,91.33,53.37,12.19,39.7,3799,Memory Leak
HP Z2 G8,87.06,64.9,105.35,11.76,49.93,5568,Overheating
Dell OptiPlex 7090,64.72,63.0,73.73,12.28,5.0,5296,Overheating
Dell OptiPlex 7090,69.0,71.24,49.84,11.85,94.82,2929,Disk Failure
Lenovo ThinkCentre M90q,36.65,61.86,70.02,11.65,100.0,1323,Disk Failure
HP Z2 G8,89.44,93.58,70.68,12.08,85.92,2965,Memory Leak
Lenovo ThinkCentre M90q,69.07,32.41,52.04,11.74,91.05,1681,Disk Failure
HP Z2 G8,46.09,41.1,42.92,11.96,28.05,2202,No Problem
Lenovo ThinkCentre M90q,70.55,82.26,61.05,11.86,35.81,3930,Memory Leak
Lenovo ThinkCentre M90q,54.81,92.47,73.32,11.97,55.71,2279,Memory Leak
HP Z2 G8,51.66,25.08,70.66,11.84,53.58,3289,Disk Failure
HP Z2 G8,39.57,42.53,51.42,12.0,41.58,2693,No Problem
HP EliteDesk 800 G6,47.67,16.1,56.68,14.56,56.45,1731,Power Issue
Dell Precision 3650,72.67,61.33,57.38,12.37,100.0,2692,Disk Failure
HP Z2 G8,19.39,38.34,51.0,12.11,30.3,1873,No Problem
Dell OptiPlex 7090,85.53,81.39,63.29,11.99,65.2,2741,Memory Leak
Lenovo ThinkCentre M90q,36.38,37.23,46.26,11.73,11.5,1875,No Problem
Dell OptiPlex 7090,73.1,83.35,67.3,11.98,60.1,2429,Memory Leak
HP Z2 G8,76.09,88.23,71.69,12.09,70.72,3588,Memory Leak
Dell OptiPlex 7090,39.3,38.67,48.93,12.53,96.87,2808,Disk Failure
Dell OptiPlex 7090,57.51,49.22,77.94,12.32,48.93,4417,Overheating
Dell Precision 3650,32.49,48.38,45.13,11.24,36.96,2813,Disk Failure
HP EliteDesk 800 G6,83.51,17.23,80.53,13.1,56.9,2303,Power Issue
HP EliteDesk 800 G6,10.97,25.33,45.46,11.89,17.41,2539,No Problem
Dell OptiPlex 7090,43.07,54.6,44.93,12.05,21.04,1834,No Problem
Lenovo ThinkCentre M90q,33.95,75.14,45.2,15.87,64.76,2022,Power Issue
Dell OptiPlex 7090,70.31,26.58,48.63,11.95,80.06,2454,Disk Failure
HP EliteDesk 800 G6,9.72,61.55,46.26,11.8,59.89,1618,No Problem
HP EliteDesk 800 G6,83.46,87.06,63.69,12.52,64.05,3302,Memory Leak
HP EliteDesk 800 G6,64.22,63.56,51.84,12.41,94.62,2271,Disk Failure
HP Z2 G8,21.67,48.67,46.83,11.73,71.82,2058,No Problem
Dell Precision 3650,74.78,97.5,76.4,11.96,95.67,3429,Memory Leak
Lenovo ThinkCentre M90q,22.23,37.46,50.63,11.8,69.8,2300,No Problem
Dell OptiPlex 7090,35.77,35.15,41.47,12.07,68.91,3312,No Problem
HP EliteDesk 800 G6,27.41,85.18,70.6,12.11,24.71,3684,Memory Leak
Dell Precision 3650,40.54,81.99,48.27,12.24,37.26,2336,Memory Leak
Lenovo ThinkCentre M90q,67.29,51.1,96.03,12.28,63.37,4196,Overheating
HP EliteDesk 800 G6,55.92,58.79,108.95,12.35,63.83,1314,Overheating
Dell OptiPlex 7090,55.02,100.0,67.39,11.96,54.31,4113,Memory Leak
Lenovo ThinkCentre M90q,24.18,67.93,60.3,11.89,52.49,2635,No Problem
Dell OptiPlex 7090,42.96,56.79,55.08,12.15,80.56,1595,Disk Failure
Lenovo ThinkCentre M90q,83.95,99.18,66.87,11.62,5.0,3841,Memory Leak
Dell OptiPlex 7090,79.53,84.97,78.36,11.61,91.07,3739,Memory Leak
HP EliteDesk 800 G6,83.86,63.35,92.21,11.97,89.91,1500,Overheating
Lenovo ThinkCentre M90q,44.22,84.82,51.42,14.68,59.78,2861,Power Issue
Dell Precision 3650,72.25,5.0,69.19,16.18,29.71,2793,Power Issue
Dell OptiPlex 7090,72.41,94.16,63.55,12.78,63.59,2432,Memory Leak
HP EliteDesk 800 G6,45.18,49.69,55.19,9.79,72.2,2238,Power Issue
Lenovo ThinkCentre M90q,31.04,60.22,45.01,12.0,95.91,3120,Disk Failure
Lenovo ThinkCentre M90q,14.32,58.36,81.19,16.5,75.07,2891,Power Issue
Dell Precision 3650,21.95,92.45,63.78,11.91,61.06,3268,Memory Leak
Dell Precision 3650,99.78,86.89,66.51,11.56,45.51,2817,Memory Leak
Dell OptiPlex 7090,76.04,100.0,68.98,11.66,34.02,3259,Memory Leak
HP EliteDesk 800 G6,90.35,93.92,69.89,12.38,48.4,3663,Memory Leak
HP EliteDesk 800 G6,65.39,47.58,89.66,11.76,74.65,1189,Overheating
HP EliteDesk 800 G6,25.86,50.2,66.29,11.4,82.06,2371,Disk Failure
Lenovo ThinkCentre M90q,15.78,32.16,51.02,12.02,16.05,3022,No Problem
HP EliteDesk 800 G6,40.75,8.0,43.25,12.5,59.74,2726,No Problem
HP EliteDesk 800 G6,41.27,51.8,46.02,15.82,59.67,1415,Power Issue
Dell Precision 3650,65.84,89.15,105.15,11.91,47.3,5079,Overheating
Dell OptiPlex 7090,76.95,38.24,99.4,12.11,56.91,5405,Overheating
HP EliteDesk 800 G6,41.72,57.12,57.87,11.27,91.06,2397,Disk Failure
Dell OptiPlex 7090,63.55,97.7,57.98,11.58,64.61,2806,Memory Leak
Dell Precision 3650,84.74,100.0,81.14,11.66,67.34,3247,Memory Leak
Dell Precision 3650,85.5,93.65,64.12,11.73,51.06,2454,Memory Leak
HP EliteDesk 800 G6,39.24,52.93,40.48,12.04,28.71,1788,No Problem
HP Z2 G8,80.36,98.23,71.82,11.8,75.97,3012,Memory Leak
Dell OptiPlex 7090,72.04,39.95,79.48,10.07,29.78,2164,Power Issue
HP Z2 G8,32.16,45.17,42.68,11.68,46.26,2939,No Problem
Dell OptiPlex 7090,40.22,37.76,48.88,11.94,36.7,2663,No Problem
Lenovo ThinkCentre M90q,52.77,57.56,95.2,11.74,97.45,3574,Overheating
Dell Precision 3650,83.65,93.35,98.85,12.21,74.21,7000,Overheating
Dell OptiPlex 7090,32.39,56.44,58.18,12.18,10.84,1791,No Problem
HP Z2 G8,88.06,51.65,110.91,12.2,44.18,6007,Overheating
Lenovo ThinkCentre M90q,84.65,83.45,67.18,12.39,58.92,3414,Memory Leak
Lenovo ThinkCentre M90q,95.14,60.02,93.04,12.0,20.14,1781,Overheating
HP EliteDesk 800 G6,76.84,53.47,52.65,13.68,50.97,2225,Power Issue
Dell OptiPlex 7090,59.6,88.39,72.08,11.58,53.09,2610,Memory Leak
Dell OptiPlex 7090,24.45,64.07,52.91,10.94,82.83,821,Power Issue
Dell Precision 3650,68.75,56.24,59.07,12.04,56.85,1494,Disk Failure
Lenovo ThinkCentre M90q,52.66,38.97,38.56,11.51,59.88,1915,No Problem
Lenovo ThinkCentre M90q,28.47,41.84,42.88,11.56,18.26,2511,No Problem
Lenovo ThinkCentre M90q,50.7,38.72,58.27,16.43,79.21,2233,Power Issue
HP EliteDesk 800 G6,78.04,47.03,55.46,14.43,45.32,3364,Power Issue
HP EliteDesk 800 G6,53.76,93.12,68.07,11.94,42.02,1993,Memory Leak
HP Z2 G8,30.73,45.35,47.89,12.03,50.9,2186,No Problem
HP Z2 G8,44.38,54.82,39.8,12.06,41.01,1526,No Problem
